Unique Key,Created Date,Due Date,Closed Date,Agency Name,Complaint Type,Descriptor,Park Borough,Latitude,Longitude
31015465,7/6/15 10:58,7/23/15 15:33,7/22/15 1:07,Department of Consumer Affairs,Consumer Complaint,Demand for Cash,QUEENS,40.77353955,-73.78823697
30997660,7/3/15 13:26,7/3/15 21:26,7/3/15 14:08,New York City Police Department,Vending,In Prohibited Area,MANHATTAN,40.76702142,-73.97944781
31950223,11/9/15 3:55,11/9/15 11:55,11/9/15 8:08,New York City Police Department,Blocked Driveway,No Access,BRONX,40.85267062,-73.91060771
31000038,7/3/15 2:18,7/3/15 10:18,7/3/15 7:54,New York City Police Department,Noise - Commercial,Loud Music/Party,QUEENS,40.75577379,-73.88326243
30995614,7/4/15 0:03,7/4/15 8:03,7/4/15 3:33,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,BROOKLYN,40.67617516,-73.951269
31042454,7/9/15 0:00,8/8/15 11:39,7/20/15 0:00,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,QUEENS,,
31043076,7/9/15 12:04,8/8/15 12:04,,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,BRONX,40.87355196,-73.8516663
31037751,7/9/15 0:00,8/8/15 12:31,,Department of Health and Mental Hygiene,Standing Water,Puddle in Ground,MANHATTAN,40.74153675,-73.98116258
31298553,8/12/15 11:09,8/29/15 13:33,8/28/15 1:06,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,QUEENS,40.68258427,-73.81405649
31492526,9/9/15 21:59,9/10/15 5:59,9/9/15 23:17,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,BROOKLYN,40.68330796,-73.96377505
31495596,9/9/15 12:12,9/19/15 12:12,12/15/15 14:07,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,QUEENS,40.69375139,-73.75471902
31593923,9/22/15 13:50,10/22/15 13:50,,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,QUEENS,40.67343967,-73.75845643
31593417,9/22/15 13:12,9/26/15 13:12,9/25/15 11:20,DOB Inspections - Queens,Construction,Initial - Construction,QUEENS,40.59036032,-73.79225998
31593599,9/22/15 15:07,10/2/15 15:07,,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power/Phone Lines,QUEENS,40.73355461,-73.70495497
30502370,4/28/15 18:26,4/29/15 2:26,4/28/15 19:29,New York City Police Department,Noise - Commercial,Car/Truck Music,MANHATTAN,40.80461675,-73.94150532
30498881,4/28/15 17:54,5/28/15 17:54,10/8/15 16:30,Department of Transportation,Street Condition,Line/Marking - Faded,QUEENS,40.6668946,-73.80545263
31524474,9/13/15 13:35,9/13/15 21:35,9/13/15 22:02,New York City Police Department,Derelict Vehicle,With License Plate,BROOKLYN,40.70815417,-73.96564434
31527345,9/13/15 21:04,9/14/15 5:04,9/14/15 1:51,New York City Police Department,Blocked Driveway,No Access,BRONX,40.84297248,-73.85323438
31006258,7/4/15 16:57,9/2/15 16:57,9/3/15 6:26,Department of Health and Mental Hygiene,Food Establishment,Food Contaminated,MANHATTAN,40.78590379,-73.9725881
30668699,5/21/15 19:01,5/22/15 3:01,5/21/15 21:56,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,MANHATTAN,40.79773122,-73.94939943
31060994,7/13/15 1:14,7/13/15 9:14,7/13/15 7:20,New York City Police Department,Illegal Parking,Blocked Hydrant,BROOKLYN,40.59286771,-73.95715567
31181885,7/28/15 10:16,7/28/15 18:16,7/28/15 11:52,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,MANHATTAN,40.78688254,-73.95230743
30673749,5/21/15 20:40,5/22/15 4:40,5/21/15 23:19,New York City Police Department,Blocked Driveway,Partial Access,BROOKLYN,40.68770773,-73.99166342
30671660,5/21/15 4:43,5/21/15 12:43,5/21/15 6:18,New York City Police Department,Illegal Parking,Blocked Hydrant,BROOKLYN,40.60500138,-74.01381466
30670824,5/21/15 18:31,5/22/15 2:31,5/21/15 21:45,New York City Police Department,Vending,In Prohibited Area,MANHATTAN,40.70454904,-74.01428974
31435374,8/31/15 15:35,,9/1/15 12:00,P - Manhattan and Bronx,Dirty Conditions,E12 Illegal Dumping Surveillance,BRONX,40.81926933,-73.88485635
31591848,9/22/15 20:51,10/1/15 8:54,2/16/16 13:44,Department of Parks and Recreation,Illegal Tree Damage,Unauthorized Tree Removal,QUEENS,40.7311546,-73.89602065
31593561,9/22/15 10:29,10/1/15 7:17,10/13/15 11:01,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,QUEENS,40.75174757,-73.76353225
31458870,9/3/15 14:13,9/23/15 11:33,9/19/15 1:06,Department of Consumer Affairs,Consumer Complaint,False Advertising,QUEENS,40.68056165,-73.76338447
31591347,9/22/15 13:06,10/23/15 9:47,11/11/15 13:34,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,QUEENS,40.7641345,-73.79496691
31931071,11/6/15 6:31,,11/10/15 11:19,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,BRONX,40.84149732,-73.91113593
31594659,9/22/15 9:05,10/8/15 9:14,11/27/15 12:25,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,QUEENS,40.70247762,-73.7339742
30896435,6/20/15 22:51,,6/20/15 22:51,HRA Benefit Card Replacement,Benefit Card Replacement,Food Stamp,Unspecified,,
30892873,6/20/15 22:42,6/21/15 6:42,6/21/15 6:06,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,BROOKLYN,40.68249507,-73.98785666
30897611,6/20/15 19:13,6/21/15 3:13,6/20/15 22:56,New York City Police Department,Noise - Commercial,Loud Music/Party,BROOKLYN,40.67518242,-74.01676737
30893232,6/20/15 13:11,7/4/15 13:11,6/20/15 13:18,Department of Parks and Recreation,DPR Internal,Aided/Injury,STATEN ISLAND,,
30955379,6/28/15 10:38,6/28/15 18:38,6/28/15 11:41,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,MANHATTAN,40.74556413,-73.97182156
30983979,7/1/15 19:33,7/2/15 3:33,7/2/15 5:57,New York City Police Department,Blocked Driveway,No Access,QUEENS,40.72086684,-73.80323875
30898593,6/20/15 23:00,6/21/15 7:00,6/21/15 8:27,New York City Police Department,Illegal Parking,Commercial Overnight Parking,QUEENS,40.73753263,-73.90463137
30113963,3/6/15 18:54,3/16/15 18:54,3/16/15 10:31,Department of Transportation,Street Condition,Cave-in,BROOKLYN,40.59694973,-73.97859633
30957332,6/28/15 23:08,7/28/15 23:08,,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,BRONX,40.86355404,-73.90133786
30985115,7/1/15 11:56,7/10/15 10:53,8/3/15 16:41,Department of Parks and Recreation,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,BROOKLYN,40.67175125,-73.93584676
30978823,7/1/15 22:02,7/2/15 6:02,7/1/15 22:11,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,QUEENS,40.75970542,-73.78642557
30983432,7/1/15 19:15,7/10/15 8:24,7/7/15 9:59,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,40.61717982,-74.03876808
31481625,9/7/15 20:47,9/8/15 4:47,9/7/15 22:07,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,BROOKLYN,40.67285706,-73.97991663
30987313,7/1/15 11:19,7/1/15 19:19,7/1/15 13:54,New York City Police Department,Blocked Driveway,No Access,QUEENS,40.74566602,-73.88169582
30956584,6/29/15 0:26,6/29/15 8:26,6/29/15 4:27,New York City Police Department,Noise - Park,Loud Talking,QUEENS,40.74128024,-73.90256544
31499927,9/9/15 11:53,9/23/15 11:53,9/16/15 10:01,Department of Transportation,Sidewalk Condition,Metal Protruding - Sign Stump,MANHATTAN,40.75112405,-73.98052465
31481532,9/7/15 21:26,9/8/15 5:26,9/7/15 23:33,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,BRONX,40.87383529,-73.88602741
30958252,6/28/15 13:33,6/28/15 21:33,6/28/15 13:57,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,MANHATTAN,40.795464,-73.96380431
31496933,9/9/15 12:40,9/9/15 20:40,9/9/15 14:55,New York City Police Department,Homeless Encampment,N/A,MANHATTAN,40.74264583,-73.98245421
